iter	Passed	Remaining
0	136	136792
1	138	68910
2	139	46313
3	140	34937
4	141	28092
5	141	23479
6	142	20191
7	142	17717
8	143	15791
9	143	14240
10	144	12977
11	144	11920
12	145	11030
13	145	10264
14	146	9597
15	146	9015
16	147	8507
17	147	8052
18	148	7642
19	148	7277
20	149	6955
21	149	6659
22	150	6388
23	150	6140
24	151	5911
25	152	5695
26	152	5498
27	153	5315
28	153	5145
29	154	4986
30	154	4838
31	155	4698
32	155	4566
33	156	4442
34	156	4325
35	157	4214
36	157	4108
37	158	4009
38	158	3915
39	159	3825
40	159	3740
41	160	3658
42	160	3580
43	161	3507
44	161	3437
45	162	3370
46	162	3304
47	163	3244
48	164	3186
49	164	3128
50	165	3074
51	165	3023
52	166	2972
53	166	2923
54	167	2875
55	167	2828
56	168	2786
57	168	2744
58	169	2702
59	169	2662
60	170	2623
61	170	2586
62	171	2549
63	171	2514
64	172	2480
65	173	2448
66	173	2415
67	173	2381
68	174	2351
69	174	2322
70	175	2295
71	176	2268
72	176	2242
73	177	2215
74	177	2191
75	178	2167
76	178	2143
77	179	2120
78	179	2098
79	180	2076
80	181	2053
81	181	2032
82	182	2011
83	182	1990
84	182	1968
85	183	1948
86	183	1927
87	184	1909
88	184	1891
89	185	1873
90	185	1855
91	186	1837
92	186	1820
93	187	1804
94	187	1787
95	188	1772
96	188	1757
97	189	1741
98	189	1727
99	190	1714
100	191	1701
101	191	1685
102	192	1672
103	192	1660
104	193	1648
105	194	1636
106	194	1625
107	195	1613
108	196	1603
109	196	1592
110	197	1582
111	198	1572
112	198	1561
113	199	1551
114	200	1541
115	200	1530
116	201	1520
117	202	1510
118	202	1499
119	203	1490
120	204	1482
121	204	1473
122	205	1462
123	205	1453
124	206	1444
125	207	1435
126	207	1427
127	208	1417
128	208	1409
129	209	1401
130	210	1393
131	210	1385
132	211	1377
133	211	1369
134	212	1362
135	213	1355
136	214	1348
137	214	1340
138	215	1334
139	216	1327
140	216	1321
141	217	1314
142	218	1307
143	218	1301
144	219	1294
145	220	1287
146	220	1281
147	221	1274
148	222	1270
149	223	1264
150	223	1259
151	224	1253
152	225	1247
153	226	1242
154	226	1236
155	227	1231
156	228	1225
157	228	1220
158	229	1214
159	230	1209
160	230	1203
161	231	1198
162	232	1193
163	233	1188
164	233	1183
165	234	1177
166	235	1172
167	235	1167
168	236	1161
169	236	1156
170	237	1151
171	238	1146
172	238	1141
173	239	1136
174	240	1131
175	240	1126
176	241	1122
177	241	1117
178	242	1112
179	243	1107
180	243	1101
181	244	1096
182	244	1092
183	245	1087
184	245	1082
185	246	1078
186	246	1073
187	247	1069
188	248	1064
189	248	1060
190	249	1055
191	249	1051
192	250	1047
193	251	1043
194	251	1039
195	252	1034
196	252	1030
197	253	1026
198	254	1022
199	254	1018
200	255	1014
201	255	1010
202	256	1007
203	257	1003
204	257	999
205	258	995
206	258	991
207	259	987
208	260	984
209	260	980
210	261	976
211	261	973
212	262	969
213	262	965
214	263	962
215	264	958
216	264	955
217	265	952
218	266	948
219	266	945
220	267	942
221	267	938
222	268	935
223	269	931
224	269	928
225	270	925
226	270	922
227	271	918
228	271	915
229	272	912
230	273	908
231	273	905
232	274	902
233	274	899
234	275	895
235	275	892
236	276	889
237	276	886
238	277	883
239	278	880
240	278	877
241	279	875
242	279	872
243	280	869
244	281	866
245	281	863
246	282	860
247	282	857
248	283	854
249	283	851
250	284	848
251	285	846
252	285	843
253	286	840
254	286	837
255	287	834
256	287	832
257	288	829
258	288	826
259	289	823
260	289	821
261	290	818
262	291	815
263	291	812
264	292	810
265	292	807
266	293	805
267	293	802
268	294	799
269	294	797
270	295	794
271	296	792
272	296	789
273	297	787
274	297	784
275	298	782
276	298	779
277	299	777
278	299	774
279	300	772
280	300	770
281	301	767
282	302	765
283	302	762
284	303	760
285	303	758
286	304	755
287	304	753
288	305	751
289	305	749
290	306	746
291	307	744
292	307	742
293	308	740
294	308	737
295	309	735
296	309	733
297	310	731
298	310	729
299	311	727
300	312	725
301	312	722
302	313	720
303	313	718
304	314	716
305	315	714
306	315	712
307	316	710
308	316	708
309	317	706
310	318	704
311	318	702
312	319	700
313	319	698
314	320	696
315	320	694
316	321	692
317	322	690
318	322	688
319	323	686
320	323	685
321	324	683
322	325	681
323	326	680
324	326	678
325	327	677
326	328	675
327	328	673
328	329	671
329	330	670
330	330	668
331	331	666
332	332	665
333	332	663
334	333	662
335	334	660
336	334	658
337	335	657
338	336	655
339	336	653
340	337	652
341	338	650
342	338	648
343	339	647
344	340	645
345	340	643
346	341	642
347	341	640
348	342	638
349	343	637
350	343	635
351	344	633
352	344	632
353	345	630
354	346	628
355	346	627
356	347	625
357	347	623
358	348	622
359	349	620
360	349	619
361	350	617
362	351	615
363	351	614
364	352	612
365	352	611
366	353	610
367	354	608
368	354	606
369	355	605
370	356	604
371	356	602
372	357	601
373	358	599
374	358	598
375	359	596
376	360	595
377	360	593
378	361	591
379	361	590
380	362	588
381	363	587
382	363	585
383	364	584
384	364	582
385	365	581
386	366	580
387	366	578
388	367	577
389	368	575
390	368	574
391	369	572
392	369	571
393	370	569
394	370	568
395	371	566
396	372	565
397	372	563
398	373	562
399	373	560
400	374	559
401	374	557
402	375	556
403	376	554
404	376	553
405	377	552
406	377	550
407	378	549
408	379	547
409	379	546
410	380	545
411	381	544
412	381	542
413	382	541
414	383	540
415	383	539
416	384	537
417	385	536
418	385	534
419	386	533
420	387	532
421	387	531
422	388	529
423	389	528
424	389	527
425	390	526
426	391	524
427	391	523
428	392	522
429	392	520
430	393	519
431	394	518
432	395	517
433	395	516
434	396	515
435	397	514
436	397	512
437	398	511
438	399	510
439	399	508
440	400	507
441	401	506
442	401	504
443	402	503
444	402	502
445	403	501
446	404	500
447	404	498
448	405	497
449	406	496
450	406	495
451	407	493
452	407	492
453	408	491
454	409	489
455	409	488
456	410	487
457	410	486
458	411	484
459	412	483
460	412	482
461	413	481
462	413	479
463	414	478
464	415	477
465	415	476
466	416	474
467	416	473
468	417	472
469	417	471
470	418	470
471	419	468
472	419	467
473	420	466
474	420	465
475	421	463
476	422	462
477	422	461
478	423	460
479	423	459
480	424	457
481	425	456
482	425	455
483	426	454
484	426	453
485	427	452
486	427	450
487	428	449
488	429	448
489	429	447
490	430	446
491	430	444
492	431	443
493	432	442
494	432	441
495	433	440
496	433	439
497	434	437
498	435	436
499	435	435
500	436	434
501	436	433
502	437	432
503	438	431
504	438	429
505	439	428
506	439	427
507	440	426
508	440	425
509	441	424
510	442	423
511	442	421
512	443	420
513	443	419
514	444	418
515	444	417
516	445	416
517	446	415
518	446	414
519	447	412
520	448	411
521	448	410
522	449	409
523	449	408
524	450	407
525	451	406
526	451	405
527	452	404
528	452	403
529	453	402
530	454	401
531	454	400
532	455	399
533	456	398
534	457	397
535	457	396
536	458	395
537	458	394
538	459	392
539	460	391
540	460	390
541	461	389
542	461	388
543	462	387
544	463	386
545	463	385
546	464	384
547	465	383
548	465	382
549	466	381
550	466	380
551	467	379
552	468	378
553	468	377
554	469	376
555	469	375
556	470	374
557	471	373
558	471	372
559	472	371
560	472	370
561	473	369
562	474	368
563	474	367
564	475	366
565	475	364
566	476	363
567	477	362
568	477	361
569	478	360
570	478	359
571	479	358
572	479	357
573	480	356
574	481	355
575	481	354
576	482	353
577	482	352
578	483	351
579	484	350
580	484	349
581	485	348
582	485	347
583	486	346
584	486	345
585	487	344
586	488	343
587	488	342
588	489	341
589	489	340
590	490	339
591	491	338
592	491	337
593	492	336
594	492	335
595	493	334
596	493	333
597	494	332
598	495	331
599	495	330
600	496	329
601	497	328
602	497	327
603	498	326
604	499	325
605	499	324
606	500	323
607	500	322
608	501	321
609	501	320
610	502	320
611	503	319
612	503	318
613	504	317
614	505	316
615	505	315
616	506	314
617	507	313
618	507	312
619	508	311
620	508	310
621	509	309
622	509	308
623	510	307
624	511	306
625	511	305
626	512	304
627	512	303
628	513	302
629	514	301
630	514	301
631	515	300
632	515	299
633	516	298
634	517	297
635	517	296
636	518	295
637	519	294
638	519	293
639	520	292
640	521	291
641	521	290
642	522	289
643	522	289
644	523	288
645	524	287
646	524	286
647	525	285
648	526	284
649	527	283
650	527	282
651	528	282
652	529	281
653	529	280
654	530	279
655	531	278
656	532	277
657	532	276
658	533	275
659	533	275
660	534	274
661	535	273
662	535	272
663	536	271
664	537	270
665	537	269
666	538	268
667	539	268
668	539	267
669	540	266
670	541	265
671	541	264
672	542	263
673	543	262
674	543	261
675	544	260
676	545	260
677	545	259
678	546	258
679	547	257
680	547	256
681	548	255
682	548	254
683	549	253
684	550	253
685	550	252
686	551	251
687	551	250
688	552	249
689	553	248
690	553	247
691	554	246
692	555	245
693	555	245
694	556	244
695	556	243
696	557	242
697	558	241
698	558	240
699	559	239
700	559	238
701	560	238
702	561	237
703	562	236
704	562	235
705	563	234
706	563	233
707	564	232
708	564	231
709	565	230
710	565	230
711	566	229
712	567	228
713	567	227
714	568	226
715	569	225
716	569	224
717	570	224
718	570	223
719	571	222
720	572	221
721	572	220
722	573	219
723	573	218
724	574	217
725	575	217
726	575	216
727	576	215
728	576	214
729	577	213
730	577	212
731	578	211
732	578	210
733	579	210
734	580	209
735	580	208
736	581	207
737	582	206
738	582	205
739	583	204
740	583	204
741	584	203
742	585	202
743	585	201
744	586	200
745	586	199
746	587	198
747	587	198
748	588	197
749	589	196
750	589	195
751	590	194
752	590	193
753	591	192
754	591	192
755	592	191
756	593	190
757	593	189
758	594	188
759	594	187
760	595	186
761	595	186
762	596	185
763	597	184
764	597	183
765	598	182
766	598	181
767	599	181
768	599	180
769	600	179
770	600	178
771	601	177
772	602	176
773	602	175
774	603	175
775	603	174
776	604	173
777	604	172
778	605	171
779	606	170
780	606	170
781	607	169
782	607	168
783	608	167
784	608	166
785	609	165
786	610	165
787	610	164
788	611	163
789	612	162
790	612	161
791	613	161
792	614	160
793	614	159
794	615	158
795	615	157
796	616	157
797	617	156
798	617	155
799	618	154
800	619	153
801	619	152
802	620	152
803	620	151
804	621	150
805	622	149
806	622	148
807	623	148
808	623	147
809	624	146
810	625	145
811	625	144
812	626	144
813	626	143
814	627	142
815	628	141
816	628	140
817	629	140
818	629	139
819	630	138
820	631	137
821	631	136
822	632	135
823	632	135
824	633	134
825	634	133
826	634	132
827	635	131
828	635	131
829	636	130
830	637	129
831	637	128
832	638	127
833	638	127
834	639	126
835	639	125
836	640	124
837	641	123
838	641	123
839	642	122
840	643	121
841	643	120
842	644	120
843	645	119
844	645	118
845	646	117
846	647	116
847	647	116
848	648	115
849	648	114
850	649	113
851	650	112
852	650	112
853	651	111
854	651	110
855	652	109
856	653	108
857	653	108
858	654	107
859	654	106
860	655	105
861	656	105
862	656	104
863	657	103
864	658	102
865	658	101
866	659	101
867	659	100
868	660	99
869	661	98
870	661	98
871	662	97
872	663	96
873	663	95
874	664	94
875	665	94
876	665	93
877	666	92
878	667	91
879	667	91
880	668	90
881	668	89
882	669	88
883	670	87
884	671	87
885	671	86
886	672	85
887	673	84
888	673	84
889	674	83
890	675	82
891	676	81
892	676	81
893	677	80
894	678	79
895	679	78
896	679	78
897	680	77
898	681	76
899	682	75
900	682	75
901	683	74
902	684	73
903	685	72
